,entry_date,exit_date,quarter_date
183,2006-09-25,2006-09-26,2006-07-01
184,2006-09-26,2006-09-27,2006-07-01
185,2006-09-27,2006-09-28,2006-07-01
186,2006-09-28,2006-09-29,2006-07-01
187,2006-09-29,2006-10-02,2006-07-01
188,2006-10-02,2006-10-03,2006-10-01
189,2006-10-03,2006-10-04,2006-10-01
190,2006-10-04,2006-10-05,2006-10-01
191,2006-10-05,2006-10-06,2006-10-01
192,2006-10-06,2006-10-09,2006-10-01
193,2006-10-09,2006-10-10,2006-10-01
194,2006-10-10,2006-10-11,2006-10-01
195,2006-10-11,2006-10-12,2006-10-01
196,2006-10-12,2006-10-13,2006-10-01
197,2006-10-13,2006-10-16,2006-10-01
198,2006-10-16,2006-10-17,2006-10-01
199,2006-10-17,2006-10-18,2006-10-01
200,2006-10-18,2006-10-19,2006-10-01
201,2006-10-19,2006-10-20,2006-10-01
202,2006-10-20,2006-10-23,2006-10-01
203,2006-10-23,2006-10-24,2006-10-01
204,2006-10-24,2006-10-25,2006-10-01
205,2006-10-25,2006-10-26,2006-10-01
206,2006-10-26,2006-10-27,2006-10-01
207,2006-10-27,2006-10-30,2006-10-01
208,2006-10-30,2006-10-31,2006-10-01
209,2006-10-31,2006-11-01,2006-10-01
210,2006-11-01,2006-11-02,2006-10-01
211,2006-11-02,2006-11-03,2006-10-01
212,2006-11-03,2006-11-06,2006-10-01
213,2006-11-06,2006-11-07,2006-10-01
214,2006-11-07,2006-11-08,2006-10-01
215,2006-11-08,2006-11-09,2006-10-01
216,2006-11-09,2006-11-10,2006-10-01
217,2006-11-10,2006-11-13,2006-10-01
218,2006-11-13,2006-11-14,2006-10-01
219,2006-11-14,2006-11-15,2006-10-01
220,2006-11-15,2006-11-16,2006-10-01
221,2006-11-16,2006-11-17,2006-10-01
222,2006-11-17,2006-11-20,2006-10-01
223,2006-11-20,2006-11-21,2006-10-01
224,2006-11-21,2006-11-22,2006-10-01
225,2006-11-22,2006-11-24,2006-10-01
226,2006-11-24,2006-11-27,2006-10-01
227,2006-11-27,2006-11-28,2006-10-01
228,2006-11-28,2006-11-29,2006-10-01
229,2006-11-29,2006-11-30,2006-10-01
230,2006-11-30,2006-12-01,2006-10-01
231,2006-12-01,2006-12-04,2006-10-01
232,2006-12-04,2006-12-05,2006-10-01
233,2006-12-05,2006-12-06,2006-10-01
234,2006-12-06,2006-12-07,2006-10-01
235,2006-12-07,2006-12-08,2006-10-01
236,2006-12-08,2006-12-11,2006-10-01
237,2006-12-11,2006-12-12,2006-10-01
238,2006-12-12,2006-12-13,2006-10-01
239,2006-12-13,2006-12-14,2006-10-01
240,2006-12-14,2006-12-15,2006-10-01
241,2006-12-15,2006-12-18,2006-10-01
242,2006-12-18,2006-12-19,2006-10-01
243,2006-12-19,2006-12-20,2006-10-01
244,2006-12-20,2006-12-21,2006-10-01
245,2006-12-21,2006-12-22,2006-10-01
246,2006-12-22,2006-12-26,2006-10-01
247,2006-12-26,2006-12-27,2006-10-01
248,2006-12-27,2006-12-28,2006-10-01
249,2006-12-28,2006-12-29,2006-10-01
250,2006-12-29,2007-01-03,2006-10-01
251,2007-01-03,2007-01-04,2007-01-01
252,2007-01-04,2007-01-05,2007-01-01
253,2007-01-05,2007-01-08,2007-01-01
254,2007-01-08,2007-01-09,2007-01-01
255,2007-01-09,2007-01-10,2007-01-01
256,2007-01-10,2007-01-11,2007-01-01
257,2007-01-11,2007-01-12,2007-01-01
258,2007-01-12,2007-01-16,2007-01-01
259,2007-01-16,2007-01-17,2007-01-01
260,2007-01-17,2007-01-18,2007-01-01
261,2007-01-18,2007-01-19,2007-01-01
262,2007-01-19,2007-01-22,2007-01-01
263,2007-01-22,2007-01-23,2007-01-01
264,2007-01-23,2007-01-24,2007-01-01
265,2007-01-24,2007-01-25,2007-01-01
266,2007-01-25,2007-01-26,2007-01-01
267,2007-01-26,2007-01-29,2007-01-01
268,2007-01-29,2007-01-30,2007-01-01
269,2007-01-30,2007-01-31,2007-01-01
270,2007-01-31,2007-02-01,2007-01-01
271,2007-02-01,2007-02-02,2007-01-01
272,2007-02-02,2007-02-05,2007-01-01
273,2007-02-05,2007-02-06,2007-01-01
274,2007-02-06,2007-02-07,2007-01-01
275,2007-02-07,2007-02-08,2007-01-01
276,2007-02-08,2007-02-09,2007-01-01
277,2007-02-09,2007-02-12,2007-01-01
278,2007-02-12,2007-02-13,2007-01-01
279,2007-02-13,2007-02-14,2007-01-01
280,2007-02-14,2007-02-15,2007-01-01
281,2007-02-15,2007-02-16,2007-01-01
282,2007-02-16,2007-02-20,2007-01-01
283,2007-02-20,2007-02-21,2007-01-01
284,2007-02-21,2007-02-22,2007-01-01
285,2007-02-22,2007-02-23,2007-01-01
286,2007-02-23,2007-02-26,2007-01-01
287,2007-02-26,2007-02-27,2007-01-01
288,2007-02-27,2007-02-28,2007-01-01
289,2007-02-28,2007-03-01,2007-01-01
290,2007-03-01,2007-03-02,2007-01-01
291,2007-03-02,2007-03-05,2007-01-01
292,2007-03-05,2007-03-06,2007-01-01
293,2007-03-06,2007-03-07,2007-01-01
294,2007-03-07,2007-03-08,2007-01-01
295,2007-03-08,2007-03-09,2007-01-01
296,2007-03-09,2007-03-12,2007-01-01
297,2007-03-12,2007-03-13,2007-01-01
298,2007-03-13,2007-03-14,2007-01-01
299,2007-03-14,2007-03-15,2007-01-01
300,2007-03-15,2007-03-16,2007-01-01
301,2007-03-16,2007-03-19,2007-01-01
302,2007-03-19,2007-03-20,2007-01-01
303,2007-03-20,2007-03-21,2007-01-01
304,2007-03-21,2007-03-22,2007-01-01
305,2007-03-22,2007-03-23,2007-01-01
306,2007-03-23,2007-03-26,2007-01-01
307,2007-03-26,2007-03-27,2007-01-01
308,2007-03-27,2007-03-28,2007-01-01
309,2007-03-28,2007-03-29,2007-01-01
310,2007-03-29,2007-03-30,2007-01-01
311,2007-03-30,2007-04-02,2007-01-01
312,2007-04-02,2007-04-03,2007-04-01
313,2007-04-03,2007-04-04,2007-04-01
314,2007-04-04,2007-04-05,2007-04-01
315,2007-04-05,2007-04-09,2007-04-01
316,2007-04-09,2007-04-10,2007-04-01
317,2007-04-10,2007-04-11,2007-04-01
318,2007-04-11,2007-04-12,2007-04-01
319,2007-04-12,2007-04-13,2007-04-01
320,2007-04-13,2007-04-16,2007-04-01
321,2007-04-16,2007-04-17,2007-04-01
322,2007-04-17,2007-04-18,2007-04-01
323,2007-04-18,2007-04-19,2007-04-01
324,2007-04-19,2007-04-20,2007-04-01
325,2007-04-20,2007-04-23,2007-04-01
326,2007-04-23,2007-04-24,2007-04-01
327,2007-04-24,2007-04-25,2007-04-01
328,2007-04-25,2007-04-26,2007-04-01
329,2007-04-26,2007-04-27,2007-04-01
330,2007-04-27,2007-04-30,2007-04-01
331,2007-04-30,2007-05-01,2007-04-01
332,2007-05-01,2007-05-02,2007-04-01
333,2007-05-02,2007-05-03,2007-04-01
334,2007-05-03,2007-05-04,2007-04-01
335,2007-05-04,2007-05-07,2007-04-01
336,2007-05-07,2007-05-08,2007-04-01
337,2007-05-08,2007-05-09,2007-04-01
338,2007-05-09,2007-05-10,2007-04-01
339,2007-05-10,2007-05-11,2007-04-01
340,2007-05-11,2007-05-14,2007-04-01
341,2007-05-14,2007-05-15,2007-04-01
342,2007-05-15,2007-05-16,2007-04-01
343,2007-05-16,2007-05-17,2007-04-01
344,2007-05-17,2007-05-18,2007-04-01
345,2007-05-18,2007-05-21,2007-04-01
346,2007-05-21,2007-05-22,2007-04-01
347,2007-05-22,2007-05-23,2007-04-01
348,2007-05-23,2007-05-24,2007-04-01
349,2007-05-24,2007-05-25,2007-04-01
350,2007-05-25,2007-05-29,2007-04-01
351,2007-05-29,2007-05-30,2007-04-01
352,2007-05-30,2007-05-31,2007-04-01
353,2007-05-31,2007-06-01,2007-04-01
354,2007-06-01,2007-06-04,2007-04-01
355,2007-06-04,2007-06-05,2007-04-01
356,2007-06-05,2007-06-06,2007-04-01
357,2007-06-06,2007-06-07,2007-04-01
358,2007-06-07,2007-06-08,2007-04-01
359,2007-06-08,2007-06-11,2007-04-01
360,2007-06-11,2007-06-12,2007-04-01
361,2007-06-12,2007-06-13,2007-04-01
362,2007-06-13,2007-06-14,2007-04-01
363,2007-06-14,2007-06-15,2007-04-01
364,2007-06-15,2007-06-18,2007-04-01
365,2007-06-18,2007-06-19,2007-04-01
366,2007-06-19,2007-06-20,2007-04-01
367,2007-06-20,2007-06-21,2007-04-01
368,2007-06-21,2007-06-22,2007-04-01
369,2007-06-22,2007-06-25,2007-04-01
370,2007-06-25,2007-06-26,2007-04-01
371,2007-06-26,2007-06-27,2007-04-01
372,2007-06-27,2007-06-28,2007-04-01
373,2007-06-28,2007-06-29,2007-04-01
374,2007-06-29,2007-07-02,2007-04-01
375,2007-07-02,2007-07-03,2007-07-01
376,2007-07-03,2007-07-05,2007-07-01
377,2007-07-05,2007-07-06,2007-07-01
378,2007-07-06,2007-07-09,2007-07-01
379,2007-07-09,2007-07-10,2007-07-01
380,2007-07-10,2007-07-11,2007-07-01
381,2007-07-11,2007-07-12,2007-07-01
382,2007-07-12,2007-07-13,2007-07-01
383,2007-07-13,2007-07-16,2007-07-01
384,2007-07-16,2007-07-17,2007-07-01
385,2007-07-17,2007-07-18,2007-07-01
386,2007-07-18,2007-07-19,2007-07-01
387,2007-07-19,2007-07-20,2007-07-01
388,2007-07-20,2007-07-23,2007-07-01
389,2007-07-23,2007-07-24,2007-07-01
390,2007-07-24,2007-07-25,2007-07-01
391,2007-07-25,2007-07-26,2007-07-01
392,2007-07-26,2007-07-27,2007-07-01
393,2007-07-27,2007-07-30,2007-07-01
394,2007-07-30,2007-07-31,2007-07-01
395,2007-07-31,2007-08-01,2007-07-01
396,2007-08-01,2007-08-02,2007-07-01
397,2007-08-02,2007-08-03,2007-07-01
398,2007-08-03,2007-08-06,2007-07-01
399,2007-08-06,2007-08-07,2007-07-01
400,2007-08-07,2007-08-08,2007-07-01
401,2007-08-08,2007-08-09,2007-07-01
402,2007-08-09,2007-08-10,2007-07-01
403,2007-08-10,2007-08-13,2007-07-01
404,2007-08-13,2007-08-14,2007-07-01
405,2007-08-14,2007-08-15,2007-07-01
406,2007-08-15,2007-08-16,2007-07-01
407,2007-08-16,2007-08-17,2007-07-01
408,2007-08-17,2007-08-20,2007-07-01
409,2007-08-20,2007-08-21,2007-07-01
410,2007-08-21,2007-08-22,2007-07-01
411,2007-08-22,2007-08-23,2007-07-01
412,2007-08-23,2007-08-24,2007-07-01
413,2007-08-24,2007-08-27,2007-07-01
414,2007-08-27,2007-08-28,2007-07-01
415,2007-08-28,2007-08-29,2007-07-01
416,2007-08-29,2007-08-30,2007-07-01
417,2007-08-30,2007-08-31,2007-07-01
418,2007-08-31,2007-09-04,2007-07-01
419,2007-09-04,2007-09-05,2007-07-01
420,2007-09-05,2007-09-06,2007-07-01
421,2007-09-06,2007-09-07,2007-07-01
422,2007-09-07,2007-09-10,2007-07-01
423,2007-09-10,2007-09-11,2007-07-01
424,2007-09-11,2007-09-12,2007-07-01
425,2007-09-12,2007-09-13,2007-07-01
426,2007-09-13,2007-09-14,2007-07-01
427,2007-09-14,2007-09-17,2007-07-01
428,2007-09-17,2007-09-18,2007-07-01
429,2007-09-18,2007-09-19,2007-07-01
430,2007-09-19,2007-09-20,2007-07-01
431,2007-09-20,2007-09-21,2007-07-01
432,2007-09-21,2007-09-24,2007-07-01
433,2007-09-24,2007-09-25,2007-07-01
434,2007-09-25,2007-09-26,2007-07-01
435,2007-09-26,2007-09-27,2007-07-01
436,2007-09-27,2007-09-28,2007-07-01
437,2007-09-28,2007-10-01,2007-07-01
438,2007-10-01,2007-10-02,2007-10-01
439,2007-10-02,2007-10-03,2007-10-01
440,2007-10-03,2007-10-04,2007-10-01
441,2007-10-04,2007-10-05,2007-10-01
442,2007-10-05,2007-10-08,2007-10-01
443,2007-10-08,2007-10-09,2007-10-01
444,2007-10-09,2007-10-10,2007-10-01
445,2007-10-10,2007-10-11,2007-10-01
446,2007-10-11,2007-10-12,2007-10-01
447,2007-10-12,2007-10-15,2007-10-01
448,2007-10-15,2007-10-16,2007-10-01
449,2007-10-16,2007-10-17,2007-10-01
450,2007-10-17,2007-10-18,2007-10-01
451,2007-10-18,2007-10-19,2007-10-01
452,2007-10-19,2007-10-22,2007-10-01
453,2007-10-22,2007-10-23,2007-10-01
454,2007-10-23,2007-10-24,2007-10-01
455,2007-10-24,2007-10-25,2007-10-01
456,2007-10-25,2007-10-26,2007-10-01
457,2007-10-26,2007-10-29,2007-10-01
458,2007-10-29,2007-10-30,2007-10-01
459,2007-10-30,2007-10-31,2007-10-01
460,2007-10-31,2007-11-01,2007-10-01
461,2007-11-01,2007-11-02,2007-10-01
462,2007-11-02,2007-11-05,2007-10-01
463,2007-11-05,2007-11-06,2007-10-01
464,2007-11-06,2007-11-07,2007-10-01
465,2007-11-07,2007-11-08,2007-10-01
466,2007-11-08,2007-11-09,2007-10-01
467,2007-11-09,2007-11-12,2007-10-01
468,2007-11-12,2007-11-13,2007-10-01
469,2007-11-13,2007-11-14,2007-10-01
470,2007-11-14,2007-11-15,2007-10-01
471,2007-11-15,2007-11-16,2007-10-01
472,2007-11-16,2007-11-19,2007-10-01
473,2007-11-19,2007-11-20,2007-10-01
474,2007-11-20,2007-11-21,2007-10-01
475,2007-11-21,2007-11-23,2007-10-01
476,2007-11-23,2007-11-26,2007-10-01
477,2007-11-26,2007-11-27,2007-10-01
478,2007-11-27,2007-11-28,2007-10-01
479,2007-11-28,2007-11-29,2007-10-01
480,2007-11-29,2007-11-30,2007-10-01
481,2007-11-30,2007-12-03,2007-10-01
482,2007-12-03,2007-12-04,2007-10-01
483,2007-12-04,2007-12-05,2007-10-01
484,2007-12-05,2007-12-06,2007-10-01
485,2007-12-06,2007-12-07,2007-10-01
486,2007-12-07,2007-12-10,2007-10-01
487,2007-12-10,2007-12-11,2007-10-01
488,2007-12-11,2007-12-12,2007-10-01
489,2007-12-12,2007-12-13,2007-10-01
490,2007-12-13,2007-12-14,2007-10-01
491,2007-12-14,2007-12-17,2007-10-01
492,2007-12-17,2007-12-18,2007-10-01
493,2007-12-18,2007-12-19,2007-10-01
494,2007-12-19,2007-12-20,2007-10-01
495,2007-12-20,2007-12-21,2007-10-01
496,2007-12-21,2007-12-24,2007-10-01
497,2007-12-24,2007-12-26,2007-10-01
498,2007-12-26,2007-12-27,2007-10-01
499,2007-12-27,2007-12-28,2007-10-01
500,2007-12-28,2007-12-31,2007-10-01
501,2007-12-31,2008-01-02,2007-10-01
502,2008-01-02,2008-01-03,2008-01-01
503,2008-01-03,2008-01-04,2008-01-01
504,2008-01-04,2008-01-07,2008-01-01
505,2008-01-07,2008-01-08,2008-01-01
506,2008-01-08,2008-01-09,2008-01-01
507,2008-01-09,2008-01-10,2008-01-01
508,2008-01-10,2008-01-11,2008-01-01
509,2008-01-11,2008-01-14,2008-01-01
510,2008-01-14,2008-01-15,2008-01-01
511,2008-01-15,2008-01-16,2008-01-01
512,2008-01-16,2008-01-17,2008-01-01
513,2008-01-17,2008-01-18,2008-01-01
514,2008-01-18,2008-01-22,2008-01-01
515,2008-01-22,2008-01-23,2008-01-01
516,2008-01-23,2008-01-24,2008-01-01
517,2008-01-24,2008-01-25,2008-01-01
518,2008-01-25,2008-01-28,2008-01-01
519,2008-01-28,2008-01-29,2008-01-01
520,2008-01-29,2008-01-30,2008-01-01
521,2008-01-30,2008-01-31,2008-01-01
522,2008-01-31,2008-02-01,2008-01-01
523,2008-02-01,2008-02-04,2008-01-01
524,2008-02-04,2008-02-05,2008-01-01
525,2008-02-05,2008-02-06,2008-01-01
526,2008-02-06,2008-02-07,2008-01-01
527,2008-02-07,2008-02-08,2008-01-01
528,2008-02-08,2008-02-11,2008-01-01
529,2008-02-11,2008-02-12,2008-01-01
530,2008-02-12,2008-02-13,2008-01-01
531,2008-02-13,2008-02-14,2008-01-01
532,2008-02-14,2008-02-15,2008-01-01
533,2008-02-15,2008-02-19,2008-01-01
534,2008-02-19,2008-02-20,2008-01-01
535,2008-02-20,2008-02-21,2008-01-01
536,2008-02-21,2008-02-22,2008-01-01
537,2008-02-22,2008-02-25,2008-01-01
538,2008-02-25,2008-02-26,2008-01-01
539,2008-02-26,2008-02-27,2008-01-01
540,2008-02-27,2008-02-28,2008-01-01
541,2008-02-28,2008-02-29,2008-01-01
542,2008-02-29,2008-03-03,2008-01-01
543,2008-03-03,2008-03-04,2008-01-01
544,2008-03-04,2008-03-05,2008-01-01
545,2008-03-05,2008-03-06,2008-01-01
546,2008-03-06,2008-03-07,2008-01-01
547,2008-03-07,2008-03-10,2008-01-01
548,2008-03-10,2008-03-11,2008-01-01
549,2008-03-11,2008-03-12,2008-01-01
550,2008-03-12,2008-03-13,2008-01-01
551,2008-03-13,2008-03-14,2008-01-01
552,2008-03-14,2008-03-17,2008-01-01
553,2008-03-17,2008-03-18,2008-01-01
554,2008-03-18,2008-03-19,2008-01-01
555,2008-03-19,2008-03-20,2008-01-01
556,2008-03-20,2008-03-24,2008-01-01
557,2008-03-24,2008-03-25,2008-01-01
558,2008-03-25,2008-03-26,2008-01-01
559,2008-03-26,2008-03-27,2008-01-01
560,2008-03-27,2008-03-28,2008-01-01
561,2008-03-28,2008-03-31,2008-01-01
562,2008-03-31,2008-04-01,2008-01-01
563,2008-04-01,2008-04-02,2008-04-01
564,2008-04-02,2008-04-03,2008-04-01
565,2008-04-03,2008-04-04,2008-04-01
566,2008-04-04,2008-04-07,2008-04-01
567,2008-04-07,2008-04-08,2008-04-01
568,2008-04-08,2008-04-09,2008-04-01
569,2008-04-09,2008-04-10,2008-04-01
570,2008-04-10,2008-04-11,2008-04-01
571,2008-04-11,2008-04-14,2008-04-01
572,2008-04-14,2008-04-15,2008-04-01
573,2008-04-15,2008-04-16,2008-04-01
574,2008-04-16,2008-04-17,2008-04-01
575,2008-04-17,2008-04-18,2008-04-01
576,2008-04-18,2008-04-21,2008-04-01
577,2008-04-21,2008-04-22,2008-04-01
578,2008-04-22,2008-04-23,2008-04-01
579,2008-04-23,2008-04-24,2008-04-01
580,2008-04-24,2008-04-25,2008-04-01
581,2008-04-25,2008-04-28,2008-04-01
582,2008-04-28,2008-04-29,2008-04-01
583,2008-04-29,2008-04-30,2008-04-01
584,2008-04-30,2008-05-01,2008-04-01
585,2008-05-01,2008-05-02,2008-04-01
586,2008-05-02,2008-05-05,2008-04-01
587,2008-05-05,2008-05-06,2008-04-01
588,2008-05-06,2008-05-07,2008-04-01
589,2008-05-07,2008-05-08,2008-04-01
590,2008-05-08,2008-05-09,2008-04-01
591,2008-05-09,2008-05-12,2008-04-01
592,2008-05-12,2008-05-13,2008-04-01
593,2008-05-13,2008-05-14,2008-04-01
594,2008-05-14,2008-05-15,2008-04-01
595,2008-05-15,2008-05-16,2008-04-01
596,2008-05-16,2008-05-19,2008-04-01
597,2008-05-19,2008-05-20,2008-04-01
598,2008-05-20,2008-05-21,2008-04-01
599,2008-05-21,2008-05-22,2008-04-01
600,2008-05-22,2008-05-23,2008-04-01
601,2008-05-23,2008-05-27,2008-04-01
602,2008-05-27,2008-05-28,2008-04-01
603,2008-05-28,2008-05-29,2008-04-01
604,2008-05-29,2008-05-30,2008-04-01
605,2008-05-30,2008-06-02,2008-04-01
606,2008-06-02,2008-06-03,2008-04-01
